16:44:25.039244 config: drop-rate=0.2, max-delay=10s, seed=1 router is listening at :3000
20:51:45.938629 [queue=1] packet #77, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:45.939629 [queue=1] packet #77, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6ms
20:51:45.939629 [queue=1] packet #86, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:45.945629 [queue=0] packet #77, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.248647 [queue=1] packet #77, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 7.6ms
20:51:46.253647 [queue=2] packet #78, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.1ms
20:51:46.256647 [queue=1] packet #77, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.256647 [queue=2] packet #77, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 500µs
20:51:46.257647 [queue=1] packet #77, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.258647 [queue=0] packet #78, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.258647 [queue=1] packet #79, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.9ms
20:51:46.258647 [queue=2] packet #78, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 7.3ms
20:51:46.263648 [queue=3] packet #80, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 3.2ms
20:51:46.267648 [queue=0] packet #79, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.267648 [queue=0] packet #80, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.267648 [queue=0] packet #78, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
